"Image","Cluster"
"Flower Garland with Putti Around Madonna and Child Illuminated by Holy Spirit and Served by Angels (Vienna, Dorotheum, 1973).jpg","6"
"Adoration of the Magi (London, van Haeften).jpg","5"
"St. Martin Dividing His Cloak (London).jpg","8"
"Flower Garland Around the Madonna and Child with Angels.jpg","2"
"Procession of the Groom (Munich, 1937).jpg","8"
"Studies of Peasants with Pigs and Wagons.jpg","3"
"Visit to the Tenants.jpg","1"
"Bouquet with Mourning Iris in a Stoneware Vase (Cambridge).jpg","6"
"Battle Scene.jpg","7"
"Riverscape with the Temptation of Christ.jpg","0"
"Aeneas Carrying Anchises from the Burning Troy (London).jpg","2"
"Stigmatisation of St. Francis.jpg","0"
"The Greedy Drunkard (Paris, Gal. de Jonckheere).jpg","4"
"The Misanthropist (Dieren).jpg","4"
"Cartouche with Flowers Around a Portrait of a Young Girl (Cologne).jpg","6"
"View of the Septizonium Severi, Rome, and the Entry to S. Gregorio Magno.jpg","7"
"Orpheus Playing for the Animals.jpg","7"
"Venus at the Forge of Vulcan (Worcester).jpg","5"
"Flowers in a Sculpted Vase (New York).jpg","6"
"Allegory of Air and Fire (Munich).jpg","8"
"Pan and Syrinx.jpg","1"
"Paradise with the Fall of Man (The Hague).jpg","5"
"Bouquet with Tulips (Dusseldorf).jpg","6"
"Forest Landscape with Travelers.jpg","8"
"The Paradise with the Creation of Eve in the background on the left (Paris 1996).jpg","7"
"Flower Garland with Holy Family and St. Elizabeth and John.jpg","6"
"Entrance to Village with Windmill.jpg","5"
"Two Peasants Binding Sticks (Enschede).jpg","4"
"Village Street with Wagons.jpg","3"
"Allegory of Fire^% Venus in the Forge of Vulcan (Paris, Galliera).jpg","5"
"Venus and Adonis in a Forest Landscape.jpg","1"
"River through a Town.jpg","0"
"A Man Pissing on the Moon (London, Sotheby's).jpg","4"
"Nativity (Switzerland).jpg","8"
"Orpheus (Unknown).jpg","8"
"Saint Jerome in a Landscape.jpg","0"
"Dance on a Village Street.jpg","7"
"Coastal landscape with a windmill.jpg","0"
"Horse with Cart and Horse Head.jpg","9"
"Sea Harbor with Preaching of Christ (Munich).jpg","8"
"Battle of the Israelites and the Amalekites.jpg","2"
"Storm at Sea with Shipwreck.jpg","5"
"Venus and Mars in the Forge of Vulcan.jpg","1"
"A Bridal Procession (Private collection, Northwick Park).jpg","8"
"Battle of the Amazons.jpg","2"
