"Image","Cluster"
"Flower Garland with Putti Around Madonna and Child Illuminated by Holy Spirit and Served by Angels (Vienna, Dorotheum, 1973).jpg","7"
"Adoration of the Magi (London, van Haeften).jpg","6"
"St. Martin Dividing His Cloak (London).jpg","5"
"Flower Garland Around the Madonna and Child with Angels.jpg","7"
"Procession of the Groom (Munich, 1937).jpg","6"
"Studies of Peasants with Pigs and Wagons.jpg","4"
"Visit to the Tenants.jpg","5"
"Bouquet with Mourning Iris in a Stoneware Vase (Cambridge).jpg","9"
"Battle Scene.jpg","8"
"Riverscape with the Temptation of Christ.jpg","0"
"Aeneas Carrying Anchises from the Burning Troy (London).jpg","1"
"Stigmatisation of St. Francis.jpg","2"
"The Greedy Drunkard (Paris, Gal. de Jonckheere).jpg","3"
"The Misanthropist (Dieren).jpg","3"
"Cartouche with Flowers Around a Portrait of a Young Girl (Cologne).jpg","7"
"View of the Septizonium Severi, Rome, and the Entry to S. Gregorio Magno.jpg","8"
"Orpheus Playing for the Animals.jpg","8"
"Venus at the Forge of Vulcan (Worcester).jpg","6"
"Flowers in a Sculpted Vase (New York).jpg","9"
"Allegory of Air and Fire (Munich).jpg","6"
"Pan and Syrinx.jpg","5"
"Paradise with the Fall of Man (The Hague).jpg","5"
"Bouquet with Tulips (Dusseldorf).jpg","9"
"Forest Landscape with Travelers.jpg","1"
"The Paradise with the Creation of Eve in the background on the left (Paris 1996).jpg","8"
"Flower Garland with Holy Family and St. Elizabeth and John.jpg","7"
"Entrance to Village with Windmill.jpg","5"
"Two Peasants Binding Sticks (Enschede).jpg","3"
"Village Street with Wagons.jpg","4"
"Allegory of Fire^% Venus in the Forge of Vulcan (Paris, Galliera).jpg","5"
"Venus and Adonis in a Forest Landscape.jpg","5"
"River through a Town.jpg","4"
"A Man Pissing on the Moon (London, Sotheby's).jpg","3"
"Nativity (Switzerland).jpg","1"
"Orpheus (Unknown).jpg","8"
"Saint Jerome in a Landscape.jpg","6"
"Dance on a Village Street.jpg","1"
"Coastal landscape with a windmill.jpg","0"
"Horse with Cart and Horse Head.jpg","4"
"Sea Harbor with Preaching of Christ (Munich).jpg","1"
"Battle of the Israelites and the Amalekites.jpg","1"
"Storm at Sea with Shipwreck.jpg","1"
